date,day,anchor_time,direction,entry,sl,tp,exit_price,risk_dollars,pnl,rr_achieved,outcome,exit_time
2025-06-26,Thursday,13:30,short,3312.79,3315.93,3303.35,3315.93,30,-30.0,-1.0,sl,2025-06-26 13:40:00
2025-06-27,Friday,13:30,long,3263.3,3258.36,3278.12,3278.12,30,90.0,3.0,tp,2025-06-27 16:25:00
2025-07-01,Tuesday,13:30,long,3349.83,3345.12,3363.97,3345.12,30,-30.0,-1.0,sl,2025-07-01 13:45:00
2025-07-08,Tuesday,13:30,short,3324.05,3325.54,3319.56,3319.56,30,90.0,3.0,tp,2025-07-08 13:45:00
2025-07-09,Wednesday,13:30,short,3294.89,3298.82,3283.1,3298.82,30,-30.0,-1.0,sl,2025-07-09 13:50:00
2025-07-10,Thursday,13:30,long,3325.27,3323.58,3330.34,3323.58,30,-30.0,-1.0,sl,2025-07-10 13:40:00
2025-07-11,Friday,13:30,long,3357.32,3352.56,3371.6,3352.56,30,-30.0,-1.0,sl,2025-07-11 13:40:00
2025-07-15,Tuesday,13:30,short,3336.74,3339.34,3328.93,3339.34,30,-30.0,-1.0,sl,2025-07-15 13:45:00
2025-07-16,Wednesday,13:30,short,3330.33,3331.02,3328.26,3331.02,30,-30.0,-1.0,sl,2025-07-16 13:40:00
2025-07-17,Thursday,13:30,long,3317.98,3313.78,3330.61,3330.61,30,90.0,3.0,tp,2025-07-17 14:30:00
2025-07-18,Friday,13:30,short,3353.66,3356.87,3344.02,3356.87,30,-30.0,-1.0,sl,2025-07-18 13:55:00
2025-07-22,Tuesday,13:30,short,3414.49,3416.73,3407.79,3416.73,30,-30.0,-1.0,sl,2025-07-22 13:40:00
2025-07-23,Wednesday,13:30,long,3411.11,3406.11,3426.1,3406.11,30,-30.0,-1.0,sl,2025-07-23 15:55:00
2025-07-24,Thursday,13:30,long,3360.66,3357.73,3369.44,3369.44,30,90.0,3.0,tp,2025-07-24 13:45:00
2025-07-25,Friday,13:30,long,3346.23,3343.21,3355.26,3343.21,30,-30.0,-1.0,sl,2025-07-25 13:40:00
2025-07-29,Tuesday,13:30,short,3314.59,3318.28,3303.52,3318.28,30,-30.0,-1.0,sl,2025-07-29 13:40:00
2025-08-05,Tuesday,13:30,long,3376.08,3375.06,3379.12,3379.12,30,90.0,3.0,tp,2025-08-05 13:40:00
2025-08-06,Wednesday,13:30,short,3365.56,3368.31,3357.29,3368.31,30,-30.0,-1.0,sl,2025-08-06 13:50:00
2025-08-07,Thursday,13:30,short,3386.18,3390.58,3372.96,3390.58,30,-30.0,-1.0,sl,2025-08-07 13:40:00
2025-08-08,Friday,13:30,short,3391.01,3396.62,3374.15,3396.62,30,-30.0,-1.0,sl,2025-08-08 13:40:00
2025-08-12,Tuesday,13:30,short,3346.16,3348.02,3340.56,3348.02,30,-30.0,-1.0,sl,2025-08-12 13:40:00
2025-08-13,Wednesday,13:30,long,3358.68,3356.59,3364.95,3364.95,30,90.0,3.0,tp,2025-08-13 13:50:00
2025-08-14,Thursday,13:30,long,3349.07,3345.93,3358.5,3345.93,30,-30.0,-1.0,sl,2025-08-14 13:45:00
2025-08-15,Friday,13:30,short,3335.73,3337.33,3330.93,3337.33,30,-30.0,-1.0,sl,2025-08-15 14:00:00
2025-08-19,Tuesday,13:30,long,3336.04,3333.9,3342.45,3333.9,30,-30.0,-1.0,sl,2025-08-19 13:55:00
2025-08-20,Wednesday,13:30,long,3343.8,3341.3,3351.29,3341.3,30,-30.0,-1.0,sl,2025-08-20 13:45:00
2025-08-21,Thursday,13:30,short,3345.15,3347.94,3336.77,3336.77,30,90.0,3.0,tp,2025-08-21 13:45:00
2025-08-22,Friday,13:30,long,3331.7,3330.07,3336.56,3336.56,30,90.0,3.0,tp,2025-08-22 14:00:00
2025-08-26,Tuesday,13:30,long,3376.42,3375.03,3380.57,3375.03,30,-30.0,-1.0,sl,2025-08-26 13:45:00
2025-08-27,Wednesday,13:30,short,3377.82,3382.44,3363.98,3382.44,30,-30.0,-1.0,sl,2025-08-27 14:25:00
2025-08-28,Thursday,13:30,short,3403.36,3407.22,3391.77,3407.22,30,-30.0,-1.0,sl,2025-08-28 13:40:00
2025-08-29,Friday,13:30,long,3421.13,3420.04,3424.39,3424.39,30,90.0,3.0,tp,2025-08-29 13:40:00
2025-09-02,Tuesday,13:30,long,3488.68,3484.51,3501.17,3484.51,30,-30.0,-1.0,sl,2025-09-02 13:50:00
2025-09-09,Tuesday,13:30,long,3663.86,3662.74,3667.2,3662.74,30,-30.0,-1.0,sl,2025-09-09 13:40:00
2025-09-10,Wednesday,13:30,long,3652.21,3648.07,3664.65,3648.07,30,-30.0,-1.0,sl,2025-09-10 13:45:00
2025-09-11,Thursday,13:30,short,3621.36,3625.76,3608.17,3625.76,30,-30.0,-1.0,sl,2025-09-11 13:40:00
2025-09-12,Friday,13:30,long,3651.31,3648.88,3658.6,3648.88,30,-30.0,-1.0,sl,2025-09-12 13:45:00
2025-09-16,Tuesday,13:30,long,3695.57,3694.48,3698.86,3694.48,30,-30.0,-1.0,sl,2025-09-16 13:40:00
2025-09-17,Wednesday,13:30,long,3680.54,3679.05,3685.03,3679.05,30,-30.0,-1.0,sl,2025-09-17 13:40:00
2025-09-18,Thursday,13:30,short,3646.69,3648.84,3640.21,3640.21,30,90.0,3.0,tp,2025-09-18 13:40:00
2025-09-19,Friday,13:30,long,3657.31,3654.66,3665.28,3654.66,30,-30.0,-1.0,sl,2025-09-19 13:40:00
2025-09-23,Tuesday,13:30,long,3786.14,3784.59,3790.78,3784.59,30,-30.0,-1.0,sl,2025-09-23 13:40:00
2025-09-24,Wednesday,13:30,short,3763.01,3766.39,3752.88,3766.39,30,-30.0,-1.0,sl,2025-09-24 13:40:00
2025-09-25,Thursday,13:30,short,3736.31,3739.36,3727.16,3727.16,30,90.0,3.0,tp,2025-09-25 13:40:00
2025-09-26,Friday,13:30,long,3758.56,3753.88,3772.59,3753.88,30,-30.0,-1.0,sl,2025-09-26 13:40:00
2025-09-30,Tuesday,13:30,long,3819.92,3817.13,3828.3,3828.3,30,90.0,3.0,tp,2025-09-30 13:45:00
2025-10-07,Tuesday,13:30,short,3974.09,3976.54,3966.75,3976.54,30,-30.0,-1.0,sl,2025-10-07 13:45:00
2025-10-08,Wednesday,13:30,short,4031.2,4035.43,4018.51,4035.43,30,-30.0,-1.0,sl,2025-10-08 13:40:00
2025-10-09,Thursday,13:30,short,4046.32,4050.43,4033.96,4033.96,30,90.0,3.0,tp,2025-10-09 13:40:00
2025-10-10,Friday,13:30,long,3997.26,3988.64,4023.12,3988.64,30,-30.0,-1.0,sl,2025-10-10 13:45:00
2025-10-14,Tuesday,13:30,long,4115.06,4106.65,4140.3,4140.3,30,90.0,3.0,tp,2025-10-14 15:10:00
2025-10-15,Wednesday,13:30,long,4196.02,4190.88,4211.42,4190.88,30,-30.0,-1.0,sl,2025-10-15 13:45:00
